sub_id,primary_com_name,orig_species_code,proj_id,breeding_code,category_code,latitude,longitude,to_char,user_id,duration_hrs,all_obs_reported,block,state,nocturnal
S90605036,Ovenbird,ovenbi1,EBIRD_ATL_NY,S1,C2,42.78469,-74.746951,2021-06-22 11:54,USER4381,1.167,1,42074G6SW,US-NY,0
S90605036,Black-and-white Warbler,bawwar,EBIRD_ATL_NY,OS,C2,42.78469,-74.746951,2021-06-22 11:54,USER4381,1.167,1,42074G6SW,US-NY,0
S90605036,Blackburnian Warbler,bkbwar,EBIRD_ATL_NY,S1,C2,42.78469,-74.746951,2021-06-22 11:54,USER4381,1.167,1,42074G6SW,US-NY,0
S90605036,Black-capped Chickadee,bkcchi,EBIRD_ATL_NY,FL,C4,42.78469,-74.746951,2021-06-22 11:54,USER4381,1.167,1,42074G6SW,US-NY,0
S90605036,Eastern Wood-Pewee,eawpew,EBIRD_ATL_NY,S1,C2,42.78469,-74.746951,2021-06-22 11:54,USER4381,1.167,1,42074G6SW,US-NY,0
S90605036,Pileated Woodpecker,pilwoo,EBIRD_ATL_NY,S1,C2,42.78469,-74.746951,2021-06-22 11:54,USER4381,1.167,1,42074G6SW,US-NY,0
S90605036,Mourning Warbler,mouwar,EBIRD_ATL_NY,S1,C2,42.78469,-74.746951,2021-06-22 11:54,USER4381,1.167,1,42074G6SW,US-NY,0
S90605036,White-breasted Nuthatch,whbnut,EBIRD_ATL_NY,PO,C3,42.78469,-74.746951,2021-06-22 11:54,USER4381,1.167,1,42074G6SW,US-NY,0
S90605036,Yellow-bellied Sapsucker,yebsap,EBIRD_ATL_NY,OS,C2,42.78469,-74.746951,2021-06-22 11:54,USER4381,1.167,1,42074G6SW,US-NY,0
S90605036,American Goldfinch,amegfi,EBIRD_ATL_NY,OS,C2,42.78469,-74.746951,2021-06-22 11:54,USER4381,1.167,1,42074G6SW,US-NY,0
S90605036,American Redstart,amered,EBIRD_ATL_NY,PO,C3,42.78469,-74.746951,2021-06-22 11:54,USER4381,1.167,1,42074G6SW,US-NY,0
S90605036,Hooded Warbler,hoowar,EBIRD_ATL_NY,OS,C2,42.78469,-74.746951,2021-06-22 11:54,USER4381,1.167,1,42074G6SW,US-NY,0
S90605036,Red-eyed Vireo,reevir1,EBIRD_ATL_NY,T7,C3,42.78469,-74.746951,2021-06-22 11:54,USER4381,1.167,1,42074G6SW,US-NY,0
S90605036,American Robin,amerob,EBIRD_ATL_NY,S1,C2,42.78469,-74.746951,2021-06-22 11:54,USER4381,1.167,1,42074G6SW,US-NY,0
S90605036,Wood Thrush,woothr,EBIRD_ATL_NY,T7,C3,42.78469,-74.746951,2021-06-22 11:54,USER4381,1.167,1,42074G6SW,US-NY,0
S90605127,European Starling,eursta,EBIRD_ATL_NY,FL,C4,42.789578,-74.759183,2021-06-22 11:19,USER4381,0.583,1,42074G7SE,US-NY,0
S90605127,Song Sparrow,sonspa,EBIRD_ATL_NY,S1,C2,42.789578,-74.759183,2021-06-22 11:19,USER4381,0.583,1,42074G7SE,US-NY,0
S90605127,Red-eyed Vireo,reevir1,EBIRD_ATL_NY,S1,C2,42.789578,-74.759183,2021-06-22 11:19,USER4381,0.583,1,42074G7SE,US-NY,0
S90605127,Gray Catbird,grycat,EBIRD_ATL_NY,OS,C2,42.789578,-74.759183,2021-06-22 11:19,USER4381,0.583,1,42074G7SE,US-NY,0
S90605127,Wilson's Snipe,wilsni1,EBIRD_ATL_NY,S1,C2,42.789578,-74.759183,2021-06-22 11:19,USER4381,0.583,1,42074G7SE,US-NY,0
S90605127,Mourning Dove,moudov,EBIRD_ATL_NY,OS,C2,42.789578,-74.759183,2021-06-22 11:19,USER4381,0.583,1,42074G7SE,US-NY,0
S90605127,Black-capped Chickadee,bkcchi,EBIRD_ATL_NY,FR,C4,42.789578,-74.759183,2021-06-22 11:19,USER4381,0.583,1,42074G7SE,US-NY,0
S90605127,Chestnut-sided Warbler,chswar,EBIRD_ATL_NY,FL,C4,42.789578,-74.759183,2021-06-22 11:19,USER4381,0.583,1,42074G7SE,US-NY,0
S90605127,Turkey Vulture,turvul,EBIRD_ATL_NY,FO,C1,42.789578,-74.759183,2021-06-22 11:19,USER4381,0.583,1,42074G7SE,US-NY,0
S90605127,American Robin,amerob,EBIRD_ATL_NY,PO,C3,42.789578,-74.759183,2021-06-22 11:19,USER4381,0.583,1,42074G7SE,US-NY,0
S90605127,Red-winged Blackbird,rewbla,EBIRD_ATL_NY,OS,C2,42.789578,-74.759183,2021-06-22 11:19,USER4381,0.583,1,42074G7SE,US-NY,0
S90605127,American Goldfinch,amegfi,EBIRD_ATL_NY,PO,C3,42.789578,-74.759183,2021-06-22 11:19,USER4381,0.583,1,42074G7SE,US-NY,0
S90605127,Common Yellowthroat,comyel,EBIRD_ATL_NY,S1,C2,42.789578,-74.759183,2021-06-22 11:19,USER4381,0.583,1,42074G7SE,US-NY,0
S90605127,Common Grackle,comgra,EBIRD_ATL_NY,PO,C3,42.789578,-74.759183,2021-06-22 11:19,USER4381,0.583,1,42074G7SE,US-NY,0
S90605127,Northern Cardinal,norcar,EBIRD_ATL_NY,OS,C2,42.789578,-74.759183,2021-06-22 11:19,USER4381,0.583,1,42074G7SE,US-NY,0
