atlas_block,priority,state
42077E1NE,no,New York
42076G2SW,no,New York
44075B6NE,no,New York
42073G3SE,no,New York
42074G6CE,yes,New York
42073G3SW,no,New York
42074G6CW,no,New York
44073E4SW,no,New York
42078A3CW,no,New York
42079D5SE,no,New York
44073E4SE,no,New York
42078A3CE,yes,New York
42076F3CE,yes,New York
42079B2NW,yes,New York
44074G2NW,yes,New York
42077E1NW,yes,New York
42076F3CW,no,New York
42079B2NE,no,New York
44074G2NE,no,New York
42073F3CW,no,New York
42078F8CW,no,New York
42073F3CE,yes,New York
42078F8CE,yes,New York
42074E3SE,no,New York
44073D7CE,yes,New York
42074H5SE,no,New York
43076A7CW,no,New York
42077B7NE,no,New York
42074E3SW,no,New York
43076A7CE,yes,New York
44073D7CW,no,New York
42077B7NW,yes,New York
42077A3NW,yes,New York
44074C8NW,yes,New York
40073H4CE,yes,New York
43074H3CW,no,New York
44074C8NE,no,New York
42077A3NE,no,New York
40073H4CW,no,New York
43074H3CE,yes,New York
42078B3CE,yes,New York
41073F5NE,no,New York
42077C4CW,no,New York
42078B3CW,no,New York
42077H1SW,no,New York
41073F5NW,yes,New York
42077C4CE,yes,New York
42075F6NE,no,New York
41073E5NE,no,New York
42074D6CW,no,New York
42075F6NW,yes,New York
41073E5NW,yes,New York
42074D6CE,yes,New York
44074E1CW,no,New York
42074F6CE,yes,New York
42073F5SE,no,New York
44074E1CE,yes,New York
42074F6CW,no,New York
42073F5SW,no,New York
42078F6SE,no,New York
42076C1CE,yes,New York
41077H3NE,no,New York
42076C1CW,no,New York
41077H3NW,no,New York
43075F6NW,yes,New York
42075A2NE,no,New York
40072H8CE,yes,New York
42079C5SE,no,New York
42076C4CE,yes,New York
42078F6SW,no,New York
42075A2NW,yes,New York
40072H8CW,no,New York
42079C5SW,no,New York
42076C4CW,no,New York
44075F2CW,no,New York
43077A5SW,no,New York
44075F2CE,yes,New York
43077A5SE,no,New York
43074D5CE,yes,New York
43074A8SE,no,New York
43076G3NE,no,New York
43074D5CW,no,New York
43074A8SW,no,New York
42077B7SW,no,New York
42076F7SE,no,New York
42074F7NW,yes,New York
42077B7SE,no,New York
42074F7NE,no,New York
42076F7SW,no,New York
43073E8CW,no,New York
42073A5SW,no,New York
44075D6SE,no,New York
42075H1SE,no,New York
42073A5SE,no,New York
44075D6SW,no,New York
42075H1SW,no,New York
43075D4NE,no,New York
43075D4NW,yes,New York
44074C7NW,yes,New York
41075F1SE,no,New York
41071A7CW,no,New York
44074C7NE,no,New York
43073E8CE,yes,New York
44074A3CE,yes,New York
43073F5CW,no,New York
43078A3CE,yes,New York
41074F3NE,no,New York
43076C5CW,no,New York
43078A3CW,no,New York
43073F5CE,yes,New York
41074F3NW,yes,New York
43076C5CE,yes,New York
43075D5CE,yes,New York
43075D5CW,no,New York
44074G1SE,no,New York
44074F6SE,no,New York
41074D5CE,yes,New York
44074G1SW,no,New York
44074F6SW,no,New York
42074C8NE,no,New York
41074D5CW,no,New York
42077C5CE,yes,New York
41074D3NW,yes,New York
40072H6CW,no,New York
42077C5CW,no,New York
42075C7SW,no,New York
41074D3NE,no,New York
40072H6CE,yes,New York
43073H5NW,yes,New York
42079B3CW,no,New York
42079B2SE,no,New York
42076B4SE,no,New York
43073H5NE,no,New York
42079B3CE,yes,New York
42079B2SW,no,New York
42076B4SW,no,New York
44074A7NE,no,New York
41074H8NE,no,New York
42079C3NE,no,New York
44074A7NW,yes,New York
42079C3NW,yes,New York
41074H8NW,yes,New York
43078A2CW,no,New York
44075C1CW,no,New York
41074E4NW,yes,New York
40073F6CE,yes,New York
43075A3NE,no,New York
42076F7NW,yes,New York
43078A2CE,yes,New York
40073F6CW,no,New York
44075C1CE,yes,New York
41074E4NE,no,New York
43075A3NW,yes,New York
42076F7NE,no,New York
44075D6NW,yes,New York
43074G1NE,no,New York
41074D8NE,no,New York
42074B8CW,no,New York
43075A5NW,yes,New York
43074G1NW,yes,New York
44075D6NE,no,New York
41074D8NW,yes,New York
42074B8CE,yes,New York
43075A5NE,no,New York
44076B3CE,yes,New York
42077G4CE,yes,New York
44075D1NE,no,New York
44075D1NW,yes,New York
44073C6CE,yes,New York
42075B4CE,yes,New York
41073G5CE,yes,New York
42077G1NE,no,New York
43074D7SW,no,New York
41073H4NW,yes,New York
43074A2NW,yes,New York
42075B4CW,no,New York
44074F3SE,no,New York
41073G5CW,no,New York
42077G1NW,yes,New York
43074D7SE,no,New York
43074G8NW,yes,New York
43075C5SE,no,New York
42079D3SW,no,New York
41074D4CW,no,New York
43074G8NE,no,New York
43075C5SW,no,New York
42079D3SE,no,New York
43077B5NE,no,New York
42076H7NE,no,New York
42078G1CW,no,New York
43076A6CW,no,New York
43077B5NW,yes,New York
42078G1CE,yes,New York
42076H7NW,yes,New York
43076A6CE,yes,New York
42076D1SE,no,New York
41075H2NW,yes,New York
42076D1SW,no,New York
41075H2NE,no,New York
42078C1NE,no,New York
42073E6SW,no,New York
42076A4CE,yes,New York
43075C7NE,no,New York
44073D3CW,no,New York
42073E6SE,no,New York
43075C7NW,yes,New York
42076A4CW,no,New York
41074E6CE,yes,New York
42076B4NW,yes,New York
41074E6CW,no,New York
42076B4NE,no,New York
43077A6NW,yes,New York
43077A6NE,no,New York
44074G6CW,no,New York
41073A6SW,no,New York
44075A7SW,no,New York
42075C4NW,yes,New York
42074B3NE,no,New York
44074G6CE,yes,New York
41073A6SE,no,New York
44075A7SE,no,New York
42075C4NE,no,New York
42074B3NW,yes,New York
44075D3SW,no,New York
43073C8CE,yes,New York
44074G5NW,yes,New York
42074B2NE,no,New York
42076C3SW,no,New York
44075D3SE,no,New York
43073C8CW,no,New York
42074B2NW,yes,New York
42076C3SE,no,New York
41073H5SE,no,New York
42073G7SW,no,New York
41074D7CE,yes,New York
42074C5SW,no,New York
40073G6NW,yes,New York
41073H5SW,no,New York
42073G7SE,no,New York
42074C5SE,no,New York
40073G6NE,no,New York
41074D7CW,no,New York
42077F5CW,no,New York
44073F5NE,no,New York
42073G8CE,yes,New York
44073F5NW,yes,New York
42073G8CW,no,New York
44074D5CW,no,New York
42078A8CE,yes,New York
44074G5NE,no,New York
44073H3SW,no,New York
44074D5CE,yes,New York
42078A8CW,no,New York
42078A7SE,no,New York
44074D8CW,no,New York
42078A7SW,no,New York
43074A6NW,yes,New York
44074D8CE,yes,New York
43074G5SW,no,New York
42076G5SW,no,New York
41074G3NE,no,New York
43074G5SE,no,New York
41074G3NW,yes,New York
43075C4NE,no,New York
43075D6NW,yes,New York
43074E8CW,no,New York
42074D1CW,no,New York
42074A3NW,yes,New York
43075D6NE,no,New York
42074A3NE,no,New York
43074E8CE,yes,New York
42074D1CE,yes,New York
44074G1NW,yes,New York
44074F5CE,yes,New York
43077B4CE,yes,New York
44075D4CE,yes,New York
43076H2CE,no,New York
44074F5CW,no,New York
44074G1NE,no,New York
43077B4CW,no,New York
44075D4CW,no,New York
42073D5CE,yes,New York
43074C7CW,no,New York
42079B1CW,no,New York
42077E6CW,no,New York
42074F8NW,yes,New York
42073D5CW,no,New York
42079B1CE,yes,New York
43074C7CE,yes,New York
42074F8NE,no,New York
42077E6CE,yes,New York
43073H5SE,no,New York
43075G1SW,no,New York
44073H8NW,yes,New York
42079A1CW,no,New York
42076E6SW,no,New York
44074D1CW,no,New York
41073E7NW,yes,New York
44074E5CE,yes,New York
44075B3NE,no,New York
43075G1SE,no,New York
43073H5SW,no,New York
44073H8NE,no,New York
44074D1CE,yes,New York
42079A1CE,yes,New York
42076E6SE,no,New York
44074E5CW,no,New York
44075B3NW,yes,New York
41073E7NE,no,New York
42078F7CE,yes,New York
42079D1NE,no,New York
43077A6SE,no,New York
42075A1CE,yes,New York
42076C5CW,no,New York
44073E5NW,yes,New York
42078F7CW,no,New York
42079D1NW,yes,New York
43077A6SW,no,New York
44073E5NE,no,New York
42075A1CW,no,New York
42076C5CE,yes,New York
43075B7SW,no,New York
43075B7SE,no,New York
43074G1SW,no,New York
42076D4NW,yes,New York
41075E1NE,no,New York
43074G1SE,no,New York
42076D4NE,no,New York
41075E1NW,no,New York
44074B2NW,yes,New York
43073G5CE,yes,New York
44074B2NE,no,New York
42077G1SW,no,New York
43073G5CW,no,New York
42076C6CW,no,New York
43074H4NE,no,New York
41073C6NE,no,New York
42076C6CE,yes,New York
43074H4NW,yes,New York
42079D2CW,no,New York
43074G8SE,no,New York
41074C6NE,no,New York
44073C8SW,no,New York
44073C8SE,no,New York
43074G8SW,no,New York
41074C6NW,no,New York
41073C6NW,yes,New York
42077G1SE,no,New York
43074G5NE,no,New York
43075A8SE,no,New York
41073C8CE,yes,New York
43075A8SW,no,New York
43074G5NW,yes,New York
41073C8CW,no,New York
42078G7NW,yes,New York
41073C5CE,yes,New York
40073E6NE,no,New York
43075C1CE,yes,New York
41073C5CW,no,New York
42078G7NE,no,New York
40073E6NW,yes,New York
43075C1CW,no,New York
41074E1CE,yes,New York
41074E1CW,no,New York
42077A1CW,no,New York
42078B5CE,yes,New York
41074F2SE,no,New York
44074G7NW,yes,New York
43075E3NE,no,New York
42077A1CE,yes,New York
41074F2SW,no,New York
44074G7NE,no,New York
43075E3NW,yes,New York
42077E2SW,no,New York
42077F2NE,no,New York
42079D1SW,no,New York
42077F2NW,yes,New York
42077E2SE,no,New York
42079D1SE,no,New York
41073A6NE,no,New York
43073G6NE,no,New York
43073A4CE,yes,New York
43073G6NW,yes,New York
41073A6NW,yes,New York
43076H1CE,yes,New York
43073A4CW,no,New York
41072A5SE,no,New York
41072A2CW,no,New York
42078H5NW,yes,New York
41072A2CE,no,New York
41072A5SW,no,New York
42078H5NE,no,New York
43074G3SE,no,New York
40073G6SE,no,New York
43074G3SW,no,New York
40073G6SW,no,New York
43074C5NE,no,New York
42074F3NW,yes,New York
43074C5NW,yes,New York
42074F3NE,no,New York
42079A2CE,yes,New York
43076A2CW,no,New York
41074A2NE,no,New York
42074A1NW,yes,New York
42079A2CW,no,New York
41074A2NW,no,New York
43076A2CE,yes,New York
42074A1NE,no,New York
43076A1SE,no,New York
43078C8CE,no,New York
43076A1SW,no,New York
42075D1NE,no,New York
42075D1NW,yes,New York
43075C2CW,no,New York
42077H7SW,no,New York
44075F5CE,yes,New York
43075C2CE,yes,New York
42077H7SE,no,New York
44074D3SW,no,New York
42073D7SE,no,New York
42073D7SW,no,New York
44074D3SE,no,New York
41074D6CE,yes,New York
41071A8CE,yes,New York
43073D6CE,yes,New York
42075G4CW,no,New York
41074D6CW,no,New York
42075G4CE,yes,New York
43073D6CW,no,New York
44074G7SE,no,New York
41074F4CW,no,New York
43076E2CE,yes,New York
44074G5CW,no,New York
44074G7SW,no,New York
41074F4CE,yes,New York
43077C8CW,no,New York
43076E2CW,no,New York
42077D2CE,yes,New York
43076C1CE,yes,New York
42075E5NW,yes,New York
40073F1NW,yes,New York
42077D2CW,no,New York
43076C1CW,no,New York
42075E5NE,no,New York
40073F1NE,no,New York
42077G7NE,no,New York
44073E7NE,no,New York
44073C3NW,yes,New York
42075B1CE,yes,New York
42077G7NW,yes,New York
41071A8CW,no,New York
44073E7NW,yes,New York
42075B1CW,no,New York
43075C2NE,no,New York
44076A2CW,no,New York
41074H5SE,no,New York
42073B7CE,yes,New York
44076A2CE,yes,New York
41074H5SW,no,New York
42074F6NE,no,New York
43078B4SW,no,New York
40073F2CW,no,New York
40073F2CE,yes,New York
43078B4SE,no,New York
42074A6CW,no,New York
42074C8SE,no,New York
42074A6CE,yes,New York
42074C8SW,no,New York
