"sub_id","proj_id","latitude","longitude","to_char","user_id","duration_hrs","all_obs_reported","block","state","nocturnal"
S90625859,EBIRD_ATL_NC,36.3337610,-79.3842640,"2021-06-22 22:15:00",USER587463,,"0","36079C4NE",US-NC,"1"
S90644712,EBIRD_ATL_ME,38.5013010,-79.5703850,"2021-06-22 21:46:00",USER61384,0.283,"1",o38079E5SW,US-VA,"1"
S90623846,EBIRD_ATL_NC,35.9034080,-81.9682217,"2021-06-22 21:21:00",USER969974,0.167,"1","35081H8SW",US-NC,"1"
S90846779,EBIRD_ATL_NC,35.4083739,-83.5884851,"2021-06-22 21:18:00",USER1503656,0.317,"1","35083D5SW",US-NC,"1"
S90862949,EBIRD_ATL_NC,35.4083739,-83.5884851,"2021-06-22 21:18:00",USER840969,0.317,"1","35083D5SW",US-NC,"1"
S90623557,EBIRD_ATL_MD_DC,39.5499450,-79.1763080,"2021-06-22 21:15:00",USER432820,,"0","39079E2CE",US-MD,"1"
S90623276,EBIRD_ATL_NY,43.2361672,-76.9680570,"2021-06-22 21:06:00",USER492279,,"0","43076B8NW",US-NY,"0"
S90644649,EBIRD_ATL_NC,35.6209483,-82.4279147,"2021-06-22 21:05:00",USER121135,,"0","35082E4NE",US-NC,"0"
S90623300,EBIRD_ATL_MD_DC,39.4092244,-77.4180658,"2021-06-22 21:04:00",USER677170,0.067,"1","39077D4SE",US-MD,"1"
S90623087,EBIRD_ATL_NY,43.2338109,-76.9484384,"2021-06-22 20:59:00",USER492279,,"0","43076B8NW",US-NY,"0"
S90625658,EBIRD_ATL_MD_DC,39.0502395,-76.8250886,"2021-06-22 20:58:00",USER361172,0.500,"1","39076A7CW",US-MD,"1"
S90622425,EBIRD_ATL_NY,43.2241947,-76.9102192,"2021-06-22 20:47:00",USER492279,,"0","43076B8NE",US-NY,"0"
S90623152,EBIRD_ATL_NY,41.4951399,-73.7307641,"2021-06-22 20:47:00",USER312195,,"0","41073D6NW",US-NY,"0"
S90622598,EBIRD_ATL_ME,45.3548500,-69.6859650,"2021-06-22 20:47:00",USER1215158,0.333,"0","45069C6NE",US-ME,"0"
S90623180,EBIRD_ATL_NY,42.8597300,-77.0052220,"2021-06-22 20:40:00",USER907303,0.417,"1","42077G1NE",US-NY,"0"
S90622059,EBIRD_ATL_NY,43.2762579,-76.9068204,"2021-06-22 20:33:00",USER492279,,"0","43076C8SE",US-NY,"0"
S90623262,EBIRD_ATL_NY,43.8208360,-73.4944450,"2021-06-22 20:25:00",USER451081,0.700,"1","43073G4CW",US-NY,"0"
S90621401,EBIRD_ATL_NY,43.1111740,-73.8750650,"2021-06-22 20:24:00",USER695124,0.250,"1","43073A8NE",US-NY,"0"
S90632788,EBIRD_ATL_NY,40.7581185,-74.0044693,"2021-06-22 20:23:00",USER1100857,,"0","40074G1SE",US-NY,"0"
S90621103,EBIRD_ATL_NY,42.8678640,-78.7385800,"2021-06-22 20:18:00",USER750461,,"0","42078G6NW",US-NY,"0"
S90622349,EBIRD_ATL_NC,35.0401924,-77.0212121,"2021-06-22 20:15:00",USER1061619,0.050,"1","35077A1SE",US-NC,"0"
S90621062,EBIRD_ATL_NY,43.2653053,-76.9072879,"2021-06-22 20:14:00",USER492279,,"0","43076C8SE",US-NY,"0"
S90623584,EBIRD_ATL_NY,42.7636815,-75.5128741,"2021-06-22 20:14:00",USER396889,1.017,"1","42075G5SE",US-NY,"0"
S90620660,EBIRD_ATL_NY,43.2509701,-76.9068242,"2021-06-22 20:10:00",USER492279,,"0","43076C8SE",US-NY,"0"
S90646605,EBIRD_ATL_NC,35.1063359,-82.9525688,"2021-06-22 20:08:00",USER214339,,"0","35082A8NW",US-NC,"0"
S90623523,EBIRD_ATL_MD_DC,38.3761110,-75.1911904,"2021-06-22 20:06:00",USER372501,,"0","38075D2SW",US-MD,"0"
S90623486,EBIRD_ATL_NY,42.9967614,-77.7380364,"2021-06-22 19:55:00",USER549401,,"0","42077H6NW",US-NY,"0"
S90622177,EBIRD_ATL_NY,40.7729328,-73.9558411,"2021-06-22 19:54:00",USER961429,0.600,"1","40073G8SW",US-NY,"0"
S90621426,EBIRD_ATL_NC,36.0024400,-79.0570870,"2021-06-22 19:49:00",USER185932,0.583,"1","36079A1SE",US-NC,"0"
S90649357,EBIRD_ATL_MD_DC,39.4873202,-77.3290569,"2021-06-22 19:47:00",USER1726484,17.917,"0","39077D3NW",US-MD,"0"
S90669930,EBIRD_ATL_MD_DC,39.4998040,-79.4125070,"2021-06-22 19:44:00",USER378451,0.183,"1","39079D4NE",US-MD,"0"
S90619448,EBIRD_ATL_NY,42.3432727,-76.2994856,"2021-06-22 19:43:00",USER16544,,"0","42076C3NE",US-NY,"0"
S90622230,EBIRD_ATL_MD_DC,39.4168337,-77.4232721,"2021-06-22 19:40:00",USER1802414,1.033,"1","39077D4CE",US-MD,"0"
S90656538,EBIRD_ATL_MD_DC,39.5692910,-79.2728590,"2021-06-22 19:40:00",USER577929,1.000,"1","39079E3CE",US-MD,"0"
S90619383,EBIRD_ATL_NY,40.7187618,-73.8357854,"2021-06-22 19:37:00",USER141469,0.083,"1","40073F7NW",US-NY,"0"
S90708533,EBIRD_ATL_NY,40.7187618,-73.8357854,"2021-06-22 19:37:00",USER726801,0.083,"1","40073F7NW",US-NY,"0"
S90619351,EBIRD_ATL_NY,43.2998516,-76.8102296,"2021-06-22 19:36:00",USER492279,,"0","43076C7CE",US-NY,"0"
S90632646,EBIRD_ATL_MD_DC,38.5334260,-76.6485100,"2021-06-22 19:32:00",USER409010,,"0","38076E6SE",US-MD,"0"
S90618916,EBIRD_ATL_NY,43.0203620,-78.7363960,"2021-06-22 19:30:00",USER1238025,0.017,"1","43078A6SW",US-NY,"0"
S90620844,EBIRD_ATL_MD_DC,39.3307730,-77.3027230,"2021-06-22 19:30:00",USER431368,0.717,"1","39077C3CE",US-MD,"0"
