"block","proj_id","nocturnal_hours","block_effort","diurnal_hours"
"39077A1CE","EBIRD_ATL_MD_DC",5.568,1866.613,1861.045
"39076B7NW","EBIRD_ATL_MD_DC",7.516,1565.473,1557.957
"39076C8CE","EBIRD_ATL_MD_DC",12.717,1395.386,1382.669
"38076H8SW","EBIRD_ATL_MD_DC",1.933,1218.969,1217.036
"39076B7CW","EBIRD_ATL_MD_DC",2.902,1190.093,1187.191
"39076E2NE","EBIRD_ATL_MD_DC",0.133,1164.194,1164.061
"o38077H1CW","EBIRD_ATL_MD_DC",5.636,1118.371,1112.735
"o39077A3CW","EBIRD_ATL_MD_DC",3.05,1076.68,1073.63
"39077A1SW","EBIRD_ATL_MD_DC",4.566,1062.732,1058.166
"39076B6NW","EBIRD_ATL_MD_DC",1.6,987.469,985.869
"o39077A4CE","EBIRD_ATL_MD_DC",27.437,976.296,948.859
"39076A8SE","EBIRD_ATL_MD_DC",3.467,903.11,899.643
"39077D4CE","EBIRD_ATL_MD_DC",0.167,820.902,820.735
"39077A2NE","EBIRD_ATL_MD_DC",2.25,815.126,812.876
"39076E1SW","EBIRD_ATL_MD_DC",15.252,737.965,722.713
"38077H1NE","EBIRD_ATL_MD_DC",2.434,734.182,731.748
"39076E6NW","EBIRD_ATL_MD_DC",4.151,682.238,678.087
"39076C7SW","EBIRD_ATL_MD_DC",5.417,674.391,668.974
"o38077G1NE","EBIRD_ATL_MD_DC",5.35,653.294,647.944
"39076A7SE","EBIRD_ATL_MD_DC",3.933,588.219,584.286
"39077C3SE","EBIRD_ATL_MD_DC",1.25,576.978,575.728
"38077H1CE","EBIRD_ATL_MD_DC",2.25,548.491,546.241
"39076B4SW","EBIRD_ATL_MD_DC",0.599,528.956,528.357
"38077H1NW","EBIRD_ATL_MD_DC",3.633,526.317,522.684
"39077A1SE","EBIRD_ATL_MD_DC",0.717,504.365,503.648
"39076B8NE","EBIRD_ATL_MD_DC",0.25,500.821,500.571
"39079D3SW","EBIRD_ATL_MD_DC",0,487.927,487.927
"38076G6SW","EBIRD_ATL_MD_DC",12.716,482.52,469.804
"o39077A3CE","EBIRD_ATL_MD_DC",0.6,474.722,474.122
"39076C5CW","EBIRD_ATL_MD_DC",3.167,471.163,467.996
"39076C8NE","EBIRD_ATL_MD_DC",4.183,464.123,459.94
"38076H2SW","EBIRD_ATL_MD_DC",34.907,445.481,410.574
"39077A2NW","EBIRD_ATL_MD_DC",0.65,441.179,440.529
"38076H7NE","EBIRD_ATL_MD_DC",9.649,438.399,428.75
"39076D6SE","EBIRD_ATL_MD_DC",0,393.945,393.945
"o38077H1SW","EBIRD_ATL_MD_DC",0.167,391.463,391.296
"39076B8SW","EBIRD_ATL_MD_DC",2.448,390.531,388.083
"39076A7CE","EBIRD_ATL_MD_DC",6.383,384.394,378.011
"38076H8NE","EBIRD_ATL_MD_DC",6.768,381.155,374.387
"39077A3NE","EBIRD_ATL_MD_DC",0,380.234,380.234
"39076C7CW","EBIRD_ATL_MD_DC",15.25,363.582,348.332
"39076D5CE","EBIRD_ATL_MD_DC",0.184,359.553,359.369
"39076D8SW","EBIRD_ATL_MD_DC",0.417,359.543,359.126
"39076B7NE","EBIRD_ATL_MD_DC",2.401,355.562,353.161
"39076B8CE","EBIRD_ATL_MD_DC",1.384,355.409,354.025
"38076D1CW","EBIRD_ATL_MD_DC",1.684,345.837,344.153
"39077B1CW","EBIRD_ATL_MD_DC",2.284,338.878,336.594
"39076C5SW","EBIRD_ATL_MD_DC",2.833,335.513,332.68
"38076F5CE","EBIRD_ATL_MD_DC",2.784,333.385,330.601
"39077C2CE","EBIRD_ATL_MD_DC",2.167,319.036,316.869
"o38077H1SE","EBIRD_ATL_MD_DC",4.168,318.179,314.011
"39076E2SE","EBIRD_ATL_MD_DC",6.9,314.999,308.099
"39076B7SW","EBIRD_ATL_MD_DC",0.184,310.942,310.758
"39076B4NE","EBIRD_ATL_MD_DC",1.25,310.714,309.464
"38077F1CE","EBIRD_ATL_MD_DC",1.983,298.644,296.661
"39075B8NW","EBIRD_ATL_MD_DC",8.968,284.85,275.882
"39077A1NW","EBIRD_ATL_MD_DC",0,284.838,284.838
"39079F3CW","EBIRD_ATL_MD_DC",1.331,281.541,280.21
"38076F5NE","EBIRD_ATL_MD_DC",0.5,279.625,279.125
"39077A1NE","EBIRD_ATL_MD_DC",15.135,272.376,257.241
"39076E6SE","EBIRD_ATL_MD_DC",1.586,268.775,267.189
"39076C6CE","EBIRD_ATL_MD_DC",9.033,268.356,259.323
"39076D7SE","EBIRD_ATL_MD_DC",89.367,262.551,173.184
"39076E5CE","EBIRD_ATL_MD_DC",0.268,262.168,261.9
"38076H2CW","EBIRD_ATL_MD_DC",1.251,261.781,260.53
"39076B8SE","EBIRD_ATL_MD_DC",1.75,259.049,257.299
"39076E3SW","EBIRD_ATL_MD_DC",0.167,256.894,256.727
"39076A1SW","EBIRD_ATL_MD_DC",0,256.49,256.49
